"mill_cd","codes","type","code_type","dscr","tax_dist","name","curr","tot_mill","percent_rounded"
"001018","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","103.957000","19.00"
"001350","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","64.464000","30.65"
"001351","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","56.948000","34.69"
"001352","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","68.453000","28.86"
"001353","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","65.726000","30.06"
"001354","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","69.072000","28.60"
"001355","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","63.213000","31.25"
"001356","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","61.807000","31.97"
"001357","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","69.323000","28.50"
"001365","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","70.729000","27.93"
"001366","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","70.910000","27.86"
"001370","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","91.356000","21.63"
"001371","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","92.762000","21.30"
"001383","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","109.216000","18.09"
"001384","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","110.378000","17.90"
"001385","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","127.306000","15.52"
"001389","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","115.187000","17.15"
"001392","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","118.368000","16.69"
"001393","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","160.368000","12.32"
"001394","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","162.368000","12.17"
"001395","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","118.368000","16.69"
"001396","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","118.368000","16.69"
"001399","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","161.838000","12.21"
"001400","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","111.053000","17.79"
"001402","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","111.053000","17.79"
"001404","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","168.048000","11.76"
"001405","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","97.306000","20.30"
"001406","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","107.872000","18.32"
"001407","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","164.010000","12.05"
"001410","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","106.872000","18.49"
"001411","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","172.899000","11.43"
"001412","100  ","C","COUNTY","BOULDER COUNTY","010001","BOULDER COUNTY GENERAL OPERATING","19.757000","128.368000","15.39"
